edad,educ,wage
27,6,3402.6692731832613
65,1,2323.7594628140687
44,13,2973.760276438332
56,12,2638.7008252222463
44,6,2200.238041172604
64,8,2842.9736241978444
78,13,2484.225901522661
26,8,2029.0748198090134
23,12,2894.6192367956914
18,3,2950.368288416474
69,11,2361.814538725196
67,6,2423.6134477909886
59,1,2175.4161892714606
47,13,2524.3209683035957
77,4,2491.140718910004
28,1,2812.5410990366295
41,6,1440.8671912468599
26,12,1596.4591252041262
24,1,2182.806888934146
79,4,2788.417411454392
28,5,1599.980470663294
75,3,1903.058519317437
69,12,3394.8431324103185
43,7,2590.5497377091715
60,11,1978.6455246392331
31,0,2201.171168603491
61,8,1938.2681147325009
51,6,1721.9934370274402
75,10,2504.6017570905083
22,4,2275.013540359365
22,2,1653.5359094277715
34,4,1415.8559282452504
20,11,2834.664654423163
63,8,2220.0902044013383
73,13,2203.8026221008386
27,5,1964.5498686034107
58,4,1478.894467688497
21,12,2973.4837414263457
73,5,3160.5061751226162
36,2,2151.1080197582028
65,2,2293.1530593931234
64,4,2587.3793003858814
79,13,2158.4722991438093
18,7,3530.8384967560587
53,9,2535.3650117429806
46,14,2038.5091117217994
77,10,1962.6165982988718
51,14,3396.635469155071
46,10,3096.1166735723955
67,12,1945.4360554721775
28,9,2196.5459677303465
68,1,2529.2134319610695
30,14,2052.696802887379
33,14,1395.5262658167123
76,8,2592.6356378231994
78,13,2094.0871222263363
25,9,2217.5461495110712
60,9,1892.0155203097443
51,5,2089.5591748235784
78,9,2165.9347861372185
70,5,3135.589631001725
43,12,3024.4581516957396
57,9,2408.032635827452
20,8,3090.6111658016607
45,9,1695.3367628902738
25,2,2626.3787819908985
23,10,2445.3465262858595
51,2,3252.2514871439794
78,7,2708.431095210994
43,11,2024.1419742826715
55,13,2585.2635905731154
76,1,2433.0790953076134
19,14,1806.746644474343
23,3,2950.276033590562
24,8,2726.2834341925795
71,4,4050.183923794466
73,0,2977.5849484362852
41,14,1758.3903343760912
76,8,1562.5242850110549
22,0,3193.325158092067
54,6,2987.0914676771713
35,0,2877.52995680203
69,0,2638.767428291695
57,7,2084.1698488323145
30,8,3046.8989376247446
62,5,2294.3553972539803
75,1,1264.7631085157939
54,2,4252.956564524479
77,14,2994.9754024898834
63,0,2170.1346029207994
51,14,970.3404851304238
67,14,2700.1878878128928
69,5,3369.12440659856
56,2,2868.436244721099
31,11,2099.969921652252
37,1,2266.3400330981813
33,6,2924.6129689836293
21,5,1928.8376008924606
70,5,2842.2063814323933
40,13,2420.7283941578544
76,14,2282.76131163749
32,7,2168.922214413647
64,10,2860.0419772040727
48,13,2746.2324245908276
25,14,1912.9386497981623
79,0,4007.454477754707
34,0,2844.802558196957
49,13,1639.999532883492
21,12,3215.4478472933038
56,3,4540.690325140058
30,6,1566.9989803926292
27,6,2068.584245124406
40,13,1919.3072259575888
24,13,3026.748998157889
70,14,2258.0972758719713
67,2,3327.694730281113
43,7,2701.4360897230654
25,0,2489.8481153924276
38,7,3107.642338847447
34,13,1199.3919807265534
56,5,2288.721398057924
25,8,2209.3364910246155
63,11,2798.8953741990845
24,14,3320.5534502180158
57,4,2531.4063028885203
50,1,3347.404070671336
45,3,1961.4066711078774
39,4,2557.881872672985
57,4,2647.2918971032454
60,2,2931.014420394764
77,13,3578.7369996279667
22,11,2368.0667324226997
31,10,2004.018738028854
52,9,2507.1840712776248
24,1,1222.7206683045483
49,5,3671.2378901023167
37,3,1761.6453996872988
18,5,2902.5248673131705
62,10,1763.7161261310382
72,11,2846.34632086518
54,4,2439.688624291412
53,3,2088.8398678557687
59,14,3206.761117009039
71,9,3443.6201642599967
63,13,2691.647526473875
24,7,3522.168292022341
32,10,2039.3416591576
23,11,2391.715267020424
76,14,3103.1174024803618
69,12,2282.0979189858394
50,1,2688.8239978396464
31,10,1822.0936842028755
70,1,2117.0633895017054
67,4,1650.8759510760574
29,11,2661.304770710467
69,1,2183.1211829589465
27,4,3156.881379788113
37,3,1342.0342638941913
47,2,2084.6338632559914
27,13,2529.1617133141385
21,7,1978.1998223091657
61,12,2365.851574502248
47,7,3189.6306209019326
68,8,2319.647845231164
28,10,2138.701300472165
36,14,3236.3013876246264
25,3,2140.8552534446226
71,6,2472.2911523541356
58,9,3639.173003321371
32,9,2274.1245803219667
30,1,3324.3906633954693
22,3,1908.9873278542432
40,5,3271.4676598362867
32,1,2716.5142090808076
40,9,2654.872055010986
35,9,1365.9711144494433
73,7,2801.4027103380054
65,7,3429.2133401954306
49,10,2431.6259420561328
36,7,2429.774732194056
72,8,2794.9669910459183
46,5,2107.836194588064
33,2,2195.3501029312597
47,12,2985.0825100430807
47,2,1672.7984109415643
23,3,2439.186269874923
58,8,4130.474504935806
40,3,2575.343955970815
69,10,2866.5617322189355
38,5,2912.4561078398683
28,14,3222.773894467257
42,1,1979.7044060139717
46,13,2296.8911733562854
24,0,2133.4138242729705
60,8,2033.5493350354293
55,12,2702.8796806886276
18,14,3023.2153353196645
74,4,1503.4373916051782
71,2,2820.4325087028365
79,2,2151.744494195718
54,6,3104.1202591163265
38,2,1815.4780841124175
25,5,1870.7769138474691
19,3,3010.8717931917176
64,2,1641.0243767401469
42,12,1521.6600272364021
33,9,2277.252016652639
22,6,2661.428172243169
59,7,3485.283390146869
70,13,3235.251228122629
34,12,2636.0352385311103
65,5,1995.4229017989057
69,0,3298.4334708754445
51,14,2226.8144582103128
48,2,2009.9323061592527
26,10,1743.7977251810023
50,5,2616.269823636177
35,12,2777.4900780030844
60,10,3217.900475480509
68,4,2837.9675113073577
44,14,3982.2918429519864
19,9,3142.8812820069325
42,6,2959.4687636689823
41,11,3093.0336446973574
25,0,1805.5575704934436
44,11,2570.351312743018
43,3,3033.1831431202945
64,3,2337.7246002907445
71,2,1952.7916991336401
33,5,2296.019378598822
66,7,2180.8012533637884
74,12,2410.6635170597815
30,12,3097.5410195695436
54,6,3829.9218418997825
30,3,2801.025222056389
23,11,2329.2874037333636
38,10,2861.0963371663784
65,0,1946.7492213762653
28,11,1742.4385224411299
68,3,2199.785209595018
61,4,1780.1424718078656
38,7,2407.978047652337
49,0,2142.566879203773
66,12,4528.070339560644
20,9,1808.2872380253239
24,9,2111.438004257796
62,1,2309.9095001269825
77,6,2233.10935588059
22,4,2480.985998102693
49,12,1300.359711278528
62,6,1457.3777667890367
40,7,2501.675998462647
28,13,2961.192268455613
79,3,3596.9043541957426
49,12,2207.637405372442
70,13,1350.4651192040837
34,2,3514.471218044697
71,8,2847.0676640477036
45,1,1998.1407430003899
74,12,1285.3380866190694
77,14,2093.368964060223
26,10,3746.603135403811
54,1,2936.9079137331564
66,2,2385.79320865627
20,13,2313.2005933557834
61,13,3225.0464020066283
29,10,2268.985533134997
61,1,2895.241771113426
64,12,2544.372580341262
36,14,2568.50927825609
20,2,3343.736533437424
40,4,2396.101638341994
78,6,2020.8092370926342
38,1,2482.875035654776
32,12,2980.5004233474233
53,10,2716.417411614699
69,11,1604.690249795124
70,11,2063.2905673538803
37,0,2090.66316323438
48,10,2390.3840913570693
35,6,3061.4012852877086
72,1,2573.8768979016804
71,3,1640.3727664788703
55,7,2305.707521091843
24,2,3594.8144842242946
32,3,1748.480898642039
78,8,2083.7343592819557
48,14,2672.666681203744
62,2,1263.9848949850928
21,10,2525.186686893953
53,13,3202.0068100402386
27,5,2414.2935427845327
23,5,3070.1912673343586
67,13,1808.5741577513002
28,7,2525.034299917389
65,0,1088.3788570638576
47,3,2465.2054934608773
32,0,1816.4036166172425
19,7,2758.4191782031285
28,6,2133.41468972402
43,7,2079.4310174737634
63,9,3253.7114477612554
50,7,1839.0075072521345
39,7,2401.3355881695757
34,9,1922.862049064908
37,10,3132.291605127346
51,1,2639.2662322203787
39,4,1838.6720547806965
18,10,2073.6493359850842
65,9,3105.135349991455
25,8,1960.295071334247
18,10,2421.2304661583003
24,4,3062.821414090922
21,7,2539.5279493478156
61,9,2693.2735206389784
71,10,2607.2301480774886
19,12,3418.1701032758124
24,2,1608.98571902352
40,1,2728.1702290287803
18,14,2784.929372024262
56,4,2032.1147297550633
34,6,2398.6569784361072
33,14,2575.5071982828977
32,10,2427.878513056411
71,10,3055.4044062172143
72,10,1809.7144189610808
65,4,3005.698613859877
37,3,2134.981395265194
41,1,1743.9901420697493
37,0,3062.951248087979
57,10,1876.0940793531934
58,11,2500.9395787583276
78,14,1419.9140512876008
78,11,2784.889917370602
59,8,2047.864945137403
57,12,2620.508996579535
33,0,2637.4087877206166
52,9,1946.4270994251776
75,13,2647.1202252761896
43,11,2555.270887011924
19,11,2656.235825524986
61,12,2803.1731473846316
44,10,2883.5455382981627
35,8,3226.7422007944633
39,13,3550.6163576761583
36,12,2340.119475547954
50,2,2509.8826204497386
24,4,1957.1093018410095
62,8,3958.1129092656674
30,5,2152.242005592425
41,4,2414.268686133613
75,14,1990.1986096605171
56,12,2902.3096463314714
48,14,3023.4054103977064
74,11,2163.3242605907044
40,7,2606.563472488437
69,3,688.6554675441491
76,10,2463.7564255963675
72,11,1806.8874203951991
79,1,2779.78667383184
72,9,3344.835496638754
53,10,3228.748302337386
49,14,1931.033460100959
70,14,2628.194663564112
50,7,1746.2018778299282
72,0,2310.189004041051
58,5,2766.4865477487397
41,5,2827.672793836341
60,12,2488.014503592844
51,4,2376.2017136438994
36,0,3450.8458752471497
51,3,2444.575235055703
51,4,2214.364054404912
79,7,2396.162450678099
39,7,2888.1474928037965
45,0,2307.025519224973
48,0,2248.622768750251
53,4,2766.4716708419783
23,3,2383.455738376807
61,2,2213.4367204349137
23,10,2955.3670095542557
62,11,1417.3984288120043
55,7,2959.2153538304074
31,14,2886.378053105168
33,7,2215.431713006543
56,1,1809.1929632049519
74,4,2453.3677052428748
50,2,1810.0518550494282
34,0,2235.2745522955915
52,4,3147.8269124103126
67,2,3030.5775573133114
33,14,1649.9886907536034
67,2,2674.113156596282
71,12,2094.1003606257273
47,5,2424.8737115987374
49,6,1705.4944913667
22,13,1694.2399911493585
49,4,2466.8259885704324
65,3,2785.5941618069082
35,3,2210.7227184924764
63,4,3962.8823560929395
67,7,3006.4838635020164
35,6,3494.7796259800725
78,7,1891.6772797977487
62,8,2812.0186907154884
27,1,2195.6954922700615
33,13,2770.0463297214337
27,7,2991.1654495579487
28,12,2379.92450066894
58,5,2053.1748958681296
57,12,3390.355135195623
67,6,2139.525715495877
64,10,2743.599235230612
73,9,1294.5998844266805
57,6,2528.461903619976
19,1,2013.3186755955383
67,6,2324.1007359320874
22,4,2708.8124180595473
25,7,2408.14084000514
71,8,1752.0822517964284
50,11,2320.811341793268
24,14,2208.36888717624
53,14,2805.9585814248558
32,2,3446.791640536189
35,9,3309.1156594969884
48,6,2897.8514041457274
44,3,3268.625190982801
21,5,2474.8909061819627
68,10,2098.9663397516615
50,11,3801.995892360027
43,2,1651.8986447806096
58,9,2167.637128399191
44,14,3286.57633810248
42,1,1895.399826345099
37,13,3251.310241665924
46,10,3265.8581877303104
68,4,1665.6244229588488
55,5,2472.9377024731893
20,8,2611.8179242785895
26,11,2042.546042063198
44,12,2879.35990516553
31,0,2959.7150007318855
79,0,1569.0059624266316
63,1,1754.6837975720812
70,3,1875.8540837283654
50,3,2475.503721086013
37,7,2329.059640911399
56,12,2486.027427908759
45,9,1834.9622767220253
28,12,2320.5090615311215
22,13,2067.8491433346426
39,11,3288.21549628502
26,7,1866.9832268381965
44,12,2650.1437971028117
53,0,3029.095210993882
68,14,3011.1914411060093
58,9,2998.7439561144774
18,10,2382.1291239668153
24,0,2558.805818066744
20,4,2063.07110346942
58,9,2121.2675959966136
58,11,2747.5453742190934
78,9,1578.6864502690437
37,3,1748.5239071971341
19,10,1913.390282067949
57,9,4045.489885736906
26,2,2742.9263917046046
71,1,2736.5831902221466
75,6,2879.2957116676985
51,8,3369.5685582747574
77,14,2180.9364093595277
19,14,1790.5469793460852
37,5,4204.954145387085
78,5,2757.642771970672
32,5,1932.5193566057558
24,10,2099.8182993301884
52,1,3056.2802520121413
51,1,3581.261600985772
69,1,2604.111880238708
55,7,2988.335909853597
31,10,2486.464561527244
31,9,1959.7693439996265
22,7,2603.7691815700787
64,8,2723.89997631535
58,2,2667.534842965892
79,0,2155.9445698400796
78,5,1236.1363736804813
31,12,3088.6418622536066
45,2,1504.2924814463904
78,8,1717.7342912806698
18,8,2866.086817031148
35,5,1825.9028377811055
41,11,2796.204708860067
28,12,1772.5490304537882
52,13,2364.958877370421
34,13,2304.1056664809985
61,13,2139.3673949222703
73,14,2505.340428530081
29,12,2450.4692535488234
72,4,2849.475412665535
72,10,2796.730527333226
26,6,1829.5560318566254
40,13,1891.2571018321946
69,0,2883.632446978039
68,11,2793.3409751819872
42,12,2417.314071869287
44,6,3061.745805299038
19,0,1902.5459913255895
61,14,2731.1250754543676
38,14,2996.5011991262973
36,3,1679.1374100404523
30,13,3244.4165974599405
79,14,2932.8555799861224
39,10,2817.931423362375
44,11,2005.2741274122527
18,0,2585.163209230227
61,1,2667.3308542268824
73,5,2561.182958949863
74,0,2821.7574094587044
70,12,2160.775827370875
37,2,2963.2573818188475
27,5,2372.015167953809
55,11,2485.2312723611167
56,2,2659.020357336932
69,11,1928.810567200573
52,13,2447.706233327471
44,0,2758.8482248243618
65,14,2034.403243586409
20,11,1589.1468955237092
54,2,3207.018256267324
66,2,2169.4844883698456
48,10,2438.4372844101317
48,14,2203.9858172005884
37,2,3171.92339329486
34,7,2945.6470319975074
51,6,2630.0614627377877
70,4,3521.5041513636825
40,7,2395.040843683667
34,0,1328.3829016135458
40,2,2375.316342552384
39,12,2961.20065420612
66,10,2594.567370322921
25,11,2154.0121056836347
32,12,2399.5084052532575
51,7,3571.960967739776
57,6,2192.079797230375
68,3,2245.035535512728
31,13,2291.2592759165695
70,0,2656.8043645684397
48,11,2442.443693436769
25,12,2598.246371881628
77,0,1351.4174435104617
60,2,2227.4362620499396
74,0,2837.698156441732
79,9,2071.1833452325104
55,4,3185.4593699094994
20,2,2622.562305149548
76,8,2647.726407220666
76,1,2869.394393153247
48,13,1255.3123401434761
53,4,1423.5725009968637
61,6,3026.1490851263425
59,5,2665.7200590065418
70,13,2715.6605208958163
65,9,1821.1927250165068
72,5,1923.828196316766
50,2,1786.3774683024953
41,6,2047.980768219637
56,6,2847.524757437895
20,10,1648.4289300003422
44,14,3126.368081953008
52,2,2046.2508993931287
26,14,2783.053376568531
34,7,2658.968859797848
37,12,1473.2642723660238
69,1,2717.577904171384
62,12,2977.9384856036995
58,1,2611.3014529849756
28,1,2943.926298947691
76,11,1254.4484936896595
58,9,3371.9355704844074
58,4,3288.8790967610435
71,14,1197.666949384526
25,0,2102.3452758961703
30,5,2401.824553517373
76,0,2514.918797693532
74,0,3381.877009545651
78,9,2294.876810097283
20,8,2670.5539753888766
74,2,2734.133312244575
41,7,2885.8993152358003
32,1,1863.1336104766042
53,7,1575.6160029675127
63,5,1905.064046735028
32,3,3507.7899853047993
31,9,2310.0994492975756
20,6,2779.109794521156
23,8,2434.6352995600896
64,0,3042.15130813328
78,9,2509.6507307156867
28,12,2051.239014249529
26,8,1716.532687229572
69,12,2600.4727001616857
73,11,2624.9319096213458
51,13,2484.5318760887917
70,12,2786.7236462778615
52,5,2666.894942652229
25,4,1887.4846768078437
69,11,3008.5901096356465
57,7,2723.01164376998
53,4,1976.323409383754
22,14,2349.8203620426684
60,3,3869.7883359838434
40,4,2242.327610886799
52,7,1616.134283647888
30,7,2944.019011483143
75,4,1533.260736403219
27,9,2834.221465418344
57,10,3394.4617227597246
38,7,2813.012188825125
75,12,1824.4017788969159
29,1,1669.9644690471332
26,3,2562.2521384847532
59,0,3067.1046668318977
79,14,2434.9220905869934
50,6,1451.1444550290312
69,14,2118.9490024379097
40,11,3287.4225724276557
22,10,1370.3469524183017
45,8,3705.694926360998
30,7,2193.181025127594
62,10,3072.2578896331975
27,12,2188.4005127308374
74,7,3208.2522773798037
28,14,2591.418373040742
44,0,2581.6796387359586
51,14,3675.5151704421314
34,9,1945.5319415382455
32,3,2929.96592108353
24,5,2756.690225911256
32,13,2058.921856312796
71,4,2691.858291432718
59,1,3463.226701931445
62,12,1848.873008393226
52,5,1817.5541118008673
27,8,2652.34888410454
55,12,2781.9173910697473
48,6,1664.5119819422641
69,12,2340.600751151515
68,14,2786.165525845804
46,6,3352.746559281738
27,3,2380.098662098837
38,9,2102.9337309028547
38,6,3646.6384978111646
47,12,2484.5676109673536
57,6,1534.1712522936277
73,9,3081.43216497045
35,12,1297.2409901830752
19,8,2339.829277857403
74,0,2355.549878466004
25,8,2339.9495866409643
66,0,1586.2639410667334
63,2,1044.8024374238398
31,11,3881.7859447540463
56,1,1826.9174936023405
74,2,2264.4529364435416
51,1,3366.9661036006323
28,5,1748.1931430170448
40,8,1902.4266611014223
47,4,3350.152880745336
78,4,2177.5836312709725
66,2,1371.5247621380968
74,14,1896.4928013211154
62,8,2562.9247990234157
50,11,2634.1147936461684
45,11,2051.140236838255
77,12,1551.6204269635266
70,0,3448.3263964943476
56,7,2234.1335339321968
40,11,3451.967612954795
34,14,2087.262674666611
74,13,2891.6648462263056
53,2,2759.2000377747468
79,10,3049.446015770546
48,4,2405.188894962014
19,14,1959.7299221450512
54,0,2875.3357438250328
75,12,1364.5664072978452
70,0,3009.250875364333
64,12,2343.277353201368
46,0,2563.0513711050617
25,0,2683.433322743276
63,4,2913.496005124038
35,5,2387.7266247061984
30,2,3322.2948111452
39,6,1142.7237303138552
54,14,1365.7567027787873
57,10,3078.5827933966116
60,14,2139.5602638220325
73,1,1842.18846486951
32,5,2265.14238624411
20,10,2133.658264871168
32,11,3371.329291170223
60,11,1152.8803961744266
64,8,3423.0674047034986
37,7,2710.182666375812
78,6,2431.3944902095486
78,4,1994.8595306563222
74,4,2477.0871640796313
43,5,2082.7703435403578
69,0,2436.186518978708
73,8,2148.212266584323
42,10,1964.0743536641287
30,14,2113.2082452653417
60,13,1954.5000150936785
33,10,2916.3632038852265
72,12,2485.2623826843
61,1,2854.2182173189744
58,7,1487.96737903736
45,2,1678.9557790356102
39,2,1771.9075162649162
23,9,2413.087362823164
25,11,2193.3934094859865
33,12,2382.4262766470392
20,4,2389.7850625262995
35,1,2483.368150066118
19,4,2194.6732117164956
49,5,2003.480261463176
67,8,3293.6880246679984
77,2,3071.5799020528048
52,1,3356.5171267134856
75,14,2848.311724055957
69,12,831.1271845518049
58,0,1384.613974203767
23,14,3372.5538919787114
24,3,3408.8685661419468
71,0,2261.5083303234846
51,0,2937.7198669930003
74,11,2819.135811675175
67,3,2435.000431902364
45,7,2812.3045530668596
76,13,1674.531634046884
23,14,2882.841854993677
59,6,2124.488485013687
34,14,2013.4199840865497
37,4,1815.384454717606
50,11,1349.1404638582426
25,2,2940.413933565594
73,5,2481.742393440383
31,5,1616.0573324872068
25,9,1786.094700422024
21,1,3574.1400592454656
76,5,1251.40801746124
63,14,2030.0351863855572
50,4,2485.973086913543
38,14,2865.1333126255695
24,14,2397.970570427304
60,14,2014.2659261420981
59,0,2311.539030507166
42,13,3350.653480383912
28,5,2550.2353736659456
20,5,3310.547707903036
65,13,2013.0185787458745
47,0,1815.4041691871746
18,2,3051.5721671505817
29,12,1822.838278645577
62,7,2179.8898057078914
24,10,2091.7865594956934
67,6,2600.265199599068
38,13,2427.2039944628323
31,7,3204.3548405748543
70,4,2455.431801838321
72,0,2630.621888055593
55,2,3052.697207151954
52,0,2757.8324013261017
43,12,1658.9868933117496
18,5,1940.6613269977952
21,12,2553.307929126233
22,2,2944.6285597539263
47,13,1857.9116670050325
33,8,2332.487314438043
29,13,1564.425643375706
76,2,1855.505649589261
44,3,2023.4827054034852
25,14,4307.373640339649
53,11,2939.7220134287886
66,11,1478.8327879513959
25,13,1932.374492429147
33,5,3457.5778701566837
41,9,2118.9945255347
39,3,2484.344489014574
73,14,2902.776493046756
21,3,2116.3246761708347
39,4,2465.0425603562176
70,1,1950.397103102584
45,11,3357.7695712141635
26,13,2456.2226309987827
23,13,1953.4373323606997
64,13,1441.2179879856847
55,9,2503.627612118893
59,1,2178.335030037691
63,1,2017.0577567694936
44,9,3057.389870329478
43,8,2273.931966679713
71,0,3064.182097344698
65,2,2699.4394693880363
62,8,2093.19430712976
31,5,2535.0565694862266
44,4,1554.929721292414
73,12,2946.43851064849
59,11,2527.7955645625616
28,10,3152.1290423151136
64,8,1825.515576519748
43,13,2830.775651084482
60,13,2611.2847207567042
46,2,1606.59951035594
52,5,2368.579445487843
21,2,2930.7363524739544
49,1,2567.6353744726857
51,1,1826.9262596003591
19,8,1451.8664443325467
22,2,1077.79980379943
48,4,2385.1300596380042
28,2,1616.7810056525568
27,3,2586.97051166243
21,8,1784.7222614216985
40,7,2370.0890929626858
60,3,1965.130614558076
28,5,1910.0206030273898
62,5,2768.124338641151
45,13,1680.3918329783237
65,3,2536.850140146708
45,14,3069.6358042460497
41,0,2983.317926662311
79,12,1161.9655459780042
43,2,2005.2316056817026
75,11,2476.3527919538537
46,0,3335.171100047097
49,8,2839.8656670178234
69,13,2667.878657632114
21,5,1808.1590209623414
29,7,3650.174149433722
23,2,2215.891093245377
33,7,2160.7609468457867
56,12,2940.0247196496007
20,9,2090.1475192829894
30,12,3208.9270654249262
47,9,2585.0356429534577
24,10,2093.9822341072622
31,3,2762.215671707384
31,14,2107.0599343360586
64,10,3168.496250157633
72,0,1863.8516884756468
19,0,2255.9361475325095
54,11,3020.6865900345865
24,4,1715.2944798168442
71,13,1742.271572498246
30,3,2300.6489194794203
76,12,1535.2220365019589
53,2,3127.3841931583775
53,7,1685.7800298502407
39,4,2337.1306722482786
79,9,3202.423121657779
41,7,2072.312235463282
40,6,3371.2112143129207
56,13,2677.877003097222
28,12,2004.4534733099283
44,3,2210.824484535636
71,12,2254.2591982872564
